team,rating,rd,volatility
France,1760,60,0.2
Brazil,1740,60,0.2
England,1730,60,0.2
Argentina,1720,60,0.2
Spain,1710,60,0.2
Portugal,1695,60,0.2
Germany,1685,60,0.2
Netherlands,1665,60,0.2
Belgium,1645,60,0.2
Colombia,1625,60,0.2
Morocco,1615,60,0.2
USA,1605,60,0.2
Uruguay,1595,60,0.2
Mexico,1585,60,0.2
Japan,1575,60,0.2
Switzerland,1565,60,0.2
Croatia,1555,60,0.2
Austria,1545,60,0.2
Korea Republic,1535,60,0.2
Australia,1525,60,0.2
Senegal,1515,100,0.2
Ecuador,1505,100,0.2
Norway,1498,100,0.2
Sweden,1492,100,0.2
Turkey,1485,100,0.2
Scotland,1478,100,0.2
Canada,1470,100,0.2
Cote d'Ivoire,1462,100,0.2
Czechia,1455,100,0.2
IR Iran,1448,100,0.2
Paraguay,1440,100,0.2
South Africa,1432,100,0.2
Algeria,1424,100,0.2
Ghana,1418,100,0.2
Egypt,1410,100,0.2
Tunisia,1402,100,0.2
Saudi Arabia,1394,100,0.2
Bosnia and Herzegovina,1386,100,0.2
Curacao,1375,100,0.2
DR Congo,1365,100,0.2
Iraq,1355,100,0.2
Jordan,1345,100,0.2
Haiti,1335,100,0.2
Cabo Verde,1325,100,0.2
Panama,1315,100,0.2
New Zealand,1305,100,0.2
Uzbekistan,1295,100,0.2
Qatar,1285,100,0.2
